Item;Código de item;Nome do produto;Descrição química;Grau de Etoxilação;Grupo de Família;Família de Produtos;Peso Molecular;Data inicial do estudo;Tipo de estudo;Ensaios físico-químicos;ensaio_normalizado;categoria_ensaio;is_quantitativo;Método;Especificação;spec_tipo;spec_min;spec_max;periodo;valor;is_menor_que;periodo_dias
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Acelerado;Número de carbonila, ppm CO;Carbonila;Composicao;True;MA - 1114;Máx. 50;MAXIMO;;50.0;0 dia;15.3;False;0
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Acelerado;Número de carbonila, ppm CO;Carbonila;Composicao;True;MA - 1114;Máx. 50;MAXIMO;;50.0;1 sem;8;False;7
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Acelerado;Número de carbonila, ppm CO;Carbonila;Composicao;True;MA - 1114;Máx. 50;MAXIMO;;50.0;2 sem;2.27;False;14
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Acelerado;Número de carbonila, ppm CO;Carbonila;Composicao;True;MA - 1114;Máx. 50;MAXIMO;;50.0;1m;25.34;False;30
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Acelerado;Número de carbonila, ppm CO;Carbonila;Composicao;True;MA - 1114;Máx. 50;MAXIMO;;50.0;2m;14.3;False;60
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Acelerado;Número de carbonila, ppm CO;Carbonila;Composicao;True;MA - 1114;Máx. 50;MAXIMO;;50.0;3m;40;False;90
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Acelerado;Número de carbonila, ppm CO;Carbonila;Composicao;True;MA - 1114;Máx. 50;MAXIMO;;50.0;4m;22;False;120
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Acelerado;Número de carbonila, ppm CO;Carbonila;Composicao;True;MA - 1114;Máx. 50;MAXIMO;;50.0;5m;46;False;150
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Acelerado;Número de carbonila, ppm CO;Carbonila;Composicao;True;MA - 1114;Máx. 50;MAXIMO;;50.0;6m;65;False;180
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Acelerado;Cor Pt-Co, 70oC;Cor Pt-Co;Cor;True;MA - 841;Máx. 10;MAXIMO;;10.0;0 dia;6;False;0
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Acelerado;Cor Pt-Co, 70oC;Cor Pt-Co;Cor;True;MA - 841;Máx. 10;MAXIMO;;10.0;1 sem;6;False;7
