Item;Código de item;Nome do produto;Descrição química;Grau de Etoxilação;Grupo de Família;Família de Produtos;Peso Molecular;Data inicial do estudo;Tipo de estudo;Ensaios físico-químicos;ensaio_normalizado;categoria_ensaio;is_quantitativo;Método;Especificação;spec_tipo;spec_min;spec_max;0 dia_valor;0 dia_menor_que;1 sem_valor;1 sem_menor_que;2 sem_valor;2 sem_menor_que;1m_valor;1m_menor_que;2m_valor;2m_menor_que;3m_valor;3m_menor_que;4m_valor;4m_menor_que;5m_valor;5m_menor_que;6m_valor;6m_menor_que;9m_valor;9m_menor_que;12m_valor;12m_menor_que;18m_valor;18m_menor_que;24m_valor;24m_menor_que;30m_valor;30m_menor_que;36m_valor;36m_menor_que
1;T39;Acipol AE 100;Anilina etoxilada;10EO;Ethoxylates and Propoxylates;Other ethoxylate;533;2016-08-03;Acelerado;Hidroxila, índice de, mgKOH/g;Indice de Hidroxila;Fisico-Quimico;True;MA-525;190,0 - 220,0;RANGE;190.0;220.0;194.52;False;;False;;False;196.69;False;;False;203.92;False;;False;;False;210.57;False;;False;;False;;False;;False;;False;;False
1;T39;Acipol AE 100;Anilina etoxilada;10EO;Ethoxylates and Propoxylates;Other ethoxylate;533;2016-08-03;Acelerado;pH, 5% p/p aquoso, 25ºC;pH;Fisico-Quimico;True;MA-729;6,0 - 8,0;RANGE;6.0;8.0;6.93;False;;False;;False;6.82;False;;False;6.77;False;;False;;False;6.84;False;;False;;False;;False;;False;;False;;False
1;T39;Acipol AE 100;Anilina etoxilada;10EO;Ethoxylates and Propoxylates;Other ethoxylate;533;2016-08-03;Acelerado;Aparência, 25°C;Aparencia;Organoleptico;False;MA-742;líquido livre de material estranho;DESCRITIVA;;;LIQUIDO;False;;False;;False;LIQUIDO;False;;False;LIQUIDO;False;;False;;False;LIQUIDO;False;;False;;False;;False;;False;;False;;False
1;T39;Acipol AE 100;Anilina etoxilada;10EO;Ethoxylates and Propoxylates;Other ethoxylate;533;2016-08-03;Acelerado;Água, %p;Teor de Agua;Fisico-Quimico;True;MA-875;1,0 máx.;MAXIMO;;1.0;0.07;False;;False;;False;0.09;False;;False;0.08;False;;False;;False;0.08;False;;False;;False;;False;;False;;False;;False
1;T39;Acipol AE 100;Anilina etoxilada;10EO;Ethoxylates and Propoxylates;Other ethoxylate;533;2016-08-03;Acelerado;Índice de acidez, mgKOH/g;Indice de Acidez;Fisico-Quimico;True;MA-638; ----;SEM_SPEC;;;0.34;False;;False;;False;0.36;False;;False;0.35;False;;False;;False;0.4;False;;False;;False;;False;;False;;False;;False
1;T39;Acipol AE 100;Anilina etoxilada;10EO;Ethoxylates and Propoxylates;Other ethoxylate;533;2016-08-03;Longa duração;Hidroxila, índice de, mgKOH/g;Indice de Hidroxila;Fisico-Quimico;True;MA-525;190,0 - 220,0;RANGE;190.0;220.0;194.52;False;;False;;False;;False;;False;204.24;False;;False;;False;210.36;False;207.01;False;194.48;False;201.78;False;199.67;False;199.09;False;203.38;False
1;T39;Acipol AE 100;Anilina etoxilada;10EO;Ethoxylates and Propoxylates;Other ethoxylate;533;2016-08-03;Longa duração;pH, 5% p/p aquoso, 25ºC;pH;Fisico-Quimico;True;MA-729;6,0 - 8,0;RANGE;6.0;8.0;6.93;False;;False;;False;;False;;False;6.81;False;;False;;False;6.86;False;6.92;False;6.94;False;6.8;False;6.88;False;6.87;False;6.87;False
1;T39;Acipol AE 100;Anilina etoxilada;10EO;Ethoxylates and Propoxylates;Other ethoxylate;533;2016-08-03;Longa duração;Aparência, 25°C;Aparencia;Organoleptico;False;MA-742;líquido livre de material estranho;DESCRITIVA;;;LIQUIDO;False;;False;;False;;False;;False;LIQUIDO;False;;False;;False;LIQUIDO;False;LIQUIDO;False;LIQUIDO;False;LIQUIDO;False;LIQUIDO;False;LIQUIDO;False;LIQUIDO;False
1;T39;Acipol AE 100;Anilina etoxilada;10EO;Ethoxylates and Propoxylates;Other ethoxylate;533;2016-08-03;Longa duração;Água, %p;Teor de Agua;Fisico-Quimico;True;MA-875;1,0 máx.;MAXIMO;;1.0;0.07;False;;False;;False;;False;;False;0.11;False;;False;;False;0.07;False;0.08;False;0.08;False;0.09;False;0.08;False;0.1;False;0.1;False
1;T39;Acipol AE 100;Anilina etoxilada;10EO;Ethoxylates and Propoxylates;Other ethoxylate;533;2016-08-03;Longa duração;Índice de acidez, mgKOH/g;Indice de Acidez;Fisico-Quimico;True;MA-638; ----;SEM_SPEC;;;0.34;False;;False;;False;;False;;False;0.36;False;;False;;False;0.44;False;0.39;False;0.34;False;0.45;False;0.41;False;0.42;False;0.25;False
2;T61;Acipol AE 20;Anilina etoxilada;2EO;Ethoxylates and Propoxylates;Other ethoxylate;181;2016-05-13;Acelerado;Anilina, %;Anilina;Composicao;True;MA-1340;0,1 máx.;MAXIMO;;0.1;0.01;False;;False;;False;0.01;False;;False;0.018;False;;False;;False;0.02;False;;False;;False;;False;;False;;False;;False
2;T61;Acipol AE 20;Anilina etoxilada;2EO;Ethoxylates and Propoxylates;Other ethoxylate;181;2016-05-13;Acelerado;Anilina 1EO, %;Anilina;Composicao;True;MA-1340;1,0 máx.;MAXIMO;;1.0;0.33;False;;False;;False;0.34;False;;False;0.31;False;;False;;False;0.29;False;;False;;False;;False;;False;;False;;False
2;T61;Acipol AE 20;Anilina etoxilada;2EO;Ethoxylates and Propoxylates;Other ethoxylate;181;2016-05-13;Acelerado;Anilina 2EO, %;Anilina;Composicao;True;MA-1340;94,0 mín;MINIMO;94.0;;97.56;False;;False;;False;97.59;False;;False;96.99;False;;False;;False;94.64;False;;False;;False;;False;;False;;False;;False
2;T61;Acipol AE 20;Anilina etoxilada;2EO;Ethoxylates and Propoxylates;Other ethoxylate;181;2016-05-13;Acelerado;Anilina 3EO, %;Anilina;Composicao;True;MA-1340;6,0 máx.;MAXIMO;;6.0;1.8;False;;False;;False;1.78;False;;False;1.86;False;;False;;False;2.38;False;;False;;False;;False;;False;;False;;False
2;T61;Acipol AE 20;Anilina etoxilada;2EO;Ethoxylates and Propoxylates;Other ethoxylate;181;2016-05-13;Acelerado;pH 5% iso/água 1:1 v/v, 25°C (é análise de processo);pH;Fisico-Quimico;True;MA-737;7,0 máx.;MAXIMO;;7.0;7.63;False;;False;;False;7.83;False;;False;7.54;False;;False;;False;7.52;False;;False;;False;;False;;False;;False;;False
2;T61;Acipol AE 20;Anilina etoxilada;2EO;Ethoxylates and Propoxylates;Other ethoxylate;181;2016-05-13;Acelerado;Aparência;Aparencia;Organoleptico;False;MA-742;líquido claro a escuro, solido se frio;DESCRITIVA;;;SOLIDO;False;;False;;False;SOLIDO;False;;False;SOLIDO;False;;False;;False;SOLIDO;False;;False;;False;;False;;False;;False;;False
2;T61;Acipol AE 20;Anilina etoxilada;2EO;Ethoxylates and Propoxylates;Other ethoxylate;181;2016-05-13;Acelerado;Água, %p;Teor de Agua;Fisico-Quimico;True;MA-875;0,20 máx.;MAXIMO;;0.2;0.1;False;;False;;False;0.08;False;;False;0.06;False;;False;;False;0.17;False;;False;;False;;False;;False;;False;;False
2;T61;Acipol AE 20;Anilina etoxilada;2EO;Ethoxylates and Propoxylates;Other ethoxylate;181;2016-05-13;Longa duração;Anilina, %;Anilina;Composicao;True;MA-1340;0,1 máx.;MAXIMO;;0.1;0.01;False;;False;;False;;False;;False;0.014;False;;False;;False;0.01;False;0.02;False;0.02;False;0.02;False;ND;False;0.03;False;0.03;False
