Item;Código de item;Nome do produto;Descrição química;Grau de Etoxilação;Grupo de Família;Família de Produtos;Peso Molecular;Data inicial do estudo;Tipo de estudo;Ensaios físico-químicos;ensaio_normalizado;categoria_ensaio;is_quantitativo;Método;Especificação;spec_tipo;spec_min;spec_max;periodo;valor;is_menor_que;periodo_dias
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Acelerado;Número de carbonila, ppm CO;Carbonila;Composicao;True;MA - 1114;Máx. 50;MAXIMO;;50.0;0 dia;15.3;False;0
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Longa duração;Número de carbonila, ppm CO;Carbonila;Composicao;True;MA - 1114;Máx. 50;MAXIMO;;50.0;0 dia;15.3;False;0
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Acelerado;Número de carbonila, ppm CO;Carbonila;Composicao;True;MA - 1114;Máx. 50;MAXIMO;;50.0;1 sem;8;False;7
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Acelerado;Número de carbonila, ppm CO;Carbonila;Composicao;True;MA - 1114;Máx. 50;MAXIMO;;50.0;2 sem;2.27;False;14
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Acelerado;Número de carbonila, ppm CO;Carbonila;Composicao;True;MA - 1114;Máx. 50;MAXIMO;;50.0;1m;25.34;False;30
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Acelerado;Número de carbonila, ppm CO;Carbonila;Composicao;True;MA - 1114;Máx. 50;MAXIMO;;50.0;2m;14.3;False;60
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Acelerado;Número de carbonila, ppm CO;Carbonila;Composicao;True;MA - 1114;Máx. 50;MAXIMO;;50.0;3m;40;False;90
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Longa duração;Número de carbonila, ppm CO;Carbonila;Composicao;True;MA - 1114;Máx. 50;MAXIMO;;50.0;3m;18;False;90
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Acelerado;Número de carbonila, ppm CO;Carbonila;Composicao;True;MA - 1114;Máx. 50;MAXIMO;;50.0;4m;22;False;120
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Acelerado;Número de carbonila, ppm CO;Carbonila;Composicao;True;MA - 1114;Máx. 50;MAXIMO;;50.0;5m;46;False;150
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Acelerado;Número de carbonila, ppm CO;Carbonila;Composicao;True;MA - 1114;Máx. 50;MAXIMO;;50.0;6m;65;False;180
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Longa duração;Número de carbonila, ppm CO;Carbonila;Composicao;True;MA - 1114;Máx. 50;MAXIMO;;50.0;6m;22;False;180
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Longa duração;Número de carbonila, ppm CO;Carbonila;Composicao;True;MA - 1114;Máx. 50;MAXIMO;;50.0;9m;19;False;270
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Longa duração;Número de carbonila, ppm CO;Carbonila;Composicao;True;MA - 1114;Máx. 50;MAXIMO;;50.0;12m;19;False;365
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Longa duração;Número de carbonila, ppm CO;Carbonila;Composicao;True;MA - 1114;Máx. 50;MAXIMO;;50.0;18m;28.84;False;545
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Longa duração;Número de carbonila, ppm CO;Carbonila;Composicao;True;MA - 1114;Máx. 50;MAXIMO;;50.0;24m;18;False;730
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Longa duração;Número de carbonila, ppm CO;Carbonila;Composicao;True;MA - 1114;Máx. 50;MAXIMO;;50.0;30m;50.57;False;912
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Longa duração;Número de carbonila, ppm CO;Carbonila;Composicao;True;MA - 1114;Máx. 50;MAXIMO;;50.0;36m;52.21;False;1095
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Acelerado;Cor Pt-Co, 70oC;Cor Pt-Co;Cor;True;MA - 841;Máx. 10;MAXIMO;;10.0;0 dia;6;False;0
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Longa duração;Cor Pt-Co, 70oC;Cor Pt-Co;Cor;True;MA - 841;Máx. 10;MAXIMO;;10.0;0 dia;6;False;0
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Acelerado;Cor Pt-Co, 70oC;Cor Pt-Co;Cor;True;MA - 841;Máx. 10;MAXIMO;;10.0;1 sem;6;False;7
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Acelerado;Cor Pt-Co, 70oC;Cor Pt-Co;Cor;True;MA - 841;Máx. 10;MAXIMO;;10.0;2 sem;7;False;14
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Acelerado;Cor Pt-Co, 70oC;Cor Pt-Co;Cor;True;MA - 841;Máx. 10;MAXIMO;;10.0;1m;7;False;30
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Acelerado;Cor Pt-Co, 70oC;Cor Pt-Co;Cor;True;MA - 841;Máx. 10;MAXIMO;;10.0;2m;4;False;60
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Acelerado;Cor Pt-Co, 70oC;Cor Pt-Co;Cor;True;MA - 841;Máx. 10;MAXIMO;;10.0;3m;3;False;90
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Longa duração;Cor Pt-Co, 70oC;Cor Pt-Co;Cor;True;MA - 841;Máx. 10;MAXIMO;;10.0;3m;3;False;90
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Acelerado;Cor Pt-Co, 70oC;Cor Pt-Co;Cor;True;MA - 841;Máx. 10;MAXIMO;;10.0;4m;3;False;120
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Acelerado;Cor Pt-Co, 70oC;Cor Pt-Co;Cor;True;MA - 841;Máx. 10;MAXIMO;;10.0;5m;5;False;150
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Acelerado;Cor Pt-Co, 70oC;Cor Pt-Co;Cor;True;MA - 841;Máx. 10;MAXIMO;;10.0;6m;2;False;180
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Longa duração;Cor Pt-Co, 70oC;Cor Pt-Co;Cor;True;MA - 841;Máx. 10;MAXIMO;;10.0;6m;1;False;180
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Longa duração;Cor Pt-Co, 70oC;Cor Pt-Co;Cor;True;MA - 841;Máx. 10;MAXIMO;;10.0;9m;2;False;270
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Longa duração;Cor Pt-Co, 70oC;Cor Pt-Co;Cor;True;MA - 841;Máx. 10;MAXIMO;;10.0;12m;7;False;365
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Longa duração;Cor Pt-Co, 70oC;Cor Pt-Co;Cor;True;MA - 841;Máx. 10;MAXIMO;;10.0;18m;6;False;545
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Longa duração;Cor Pt-Co, 70oC;Cor Pt-Co;Cor;True;MA - 841;Máx. 10;MAXIMO;;10.0;24m;2;False;730
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Longa duração;Cor Pt-Co, 70oC;Cor Pt-Co;Cor;True;MA - 841;Máx. 10;MAXIMO;;10.0;30m;6;False;912
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Longa duração;Cor Pt-Co, 70oC;Cor Pt-Co;Cor;True;MA - 841;Máx. 10;MAXIMO;;10.0;36m;2;False;1095
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Acelerado;Índice de acidez - mgKOH/g;Indice de Acidez;Fisico-Quimico;True;MA - 1112;Máx. 0,10;MAXIMO;;0.1;0 dia;0.0845;False;0
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Longa duração;Índice de acidez - mgKOH/g;Indice de Acidez;Fisico-Quimico;True;MA - 1112;Máx. 0,10;MAXIMO;;0.1;0 dia;0.0845;False;0
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Acelerado;Índice de acidez - mgKOH/g;Indice de Acidez;Fisico-Quimico;True;MA - 1112;Máx. 0,10;MAXIMO;;0.1;1 sem;0.0817;False;7
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Acelerado;Índice de acidez - mgKOH/g;Indice de Acidez;Fisico-Quimico;True;MA - 1112;Máx. 0,10;MAXIMO;;0.1;2 sem;0.0766;False;14
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Acelerado;Índice de acidez - mgKOH/g;Indice de Acidez;Fisico-Quimico;True;MA - 1112;Máx. 0,10;MAXIMO;;0.1;1m;0.079;False;30
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Acelerado;Índice de acidez - mgKOH/g;Indice de Acidez;Fisico-Quimico;True;MA - 1112;Máx. 0,10;MAXIMO;;0.1;2m;0.08;False;60
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Acelerado;Índice de acidez - mgKOH/g;Indice de Acidez;Fisico-Quimico;True;MA - 1112;Máx. 0,10;MAXIMO;;0.1;3m;0.08;False;90
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Longa duração;Índice de acidez - mgKOH/g;Indice de Acidez;Fisico-Quimico;True;MA - 1112;Máx. 0,10;MAXIMO;;0.1;3m;0.07;False;90
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Acelerado;Índice de acidez - mgKOH/g;Indice de Acidez;Fisico-Quimico;True;MA - 1112;Máx. 0,10;MAXIMO;;0.1;4m;0.08;False;120
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Acelerado;Índice de acidez - mgKOH/g;Indice de Acidez;Fisico-Quimico;True;MA - 1112;Máx. 0,10;MAXIMO;;0.1;5m;0.09;False;150
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Acelerado;Índice de acidez - mgKOH/g;Indice de Acidez;Fisico-Quimico;True;MA - 1112;Máx. 0,10;MAXIMO;;0.1;6m;0.08;False;180
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Longa duração;Índice de acidez - mgKOH/g;Indice de Acidez;Fisico-Quimico;True;MA - 1112;Máx. 0,10;MAXIMO;;0.1;6m;0.08;False;180
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Longa duração;Índice de acidez - mgKOH/g;Indice de Acidez;Fisico-Quimico;True;MA - 1112;Máx. 0,10;MAXIMO;;0.1;9m;0.07;False;270
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Longa duração;Índice de acidez - mgKOH/g;Indice de Acidez;Fisico-Quimico;True;MA - 1112;Máx. 0,10;MAXIMO;;0.1;12m;0.06;False;365
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Longa duração;Índice de acidez - mgKOH/g;Indice de Acidez;Fisico-Quimico;True;MA - 1112;Máx. 0,10;MAXIMO;;0.1;18m;0.08;False;545
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Longa duração;Índice de acidez - mgKOH/g;Indice de Acidez;Fisico-Quimico;True;MA - 1112;Máx. 0,10;MAXIMO;;0.1;24m;0.07;False;730
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Longa duração;Índice de acidez - mgKOH/g;Indice de Acidez;Fisico-Quimico;True;MA - 1112;Máx. 0,10;MAXIMO;;0.1;30m;0.1;False;912
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Longa duração;Índice de acidez - mgKOH/g;Indice de Acidez;Fisico-Quimico;True;MA - 1112;Máx. 0,10;MAXIMO;;0.1;36m;0.12;False;1095
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Acelerado;Índice de hidroxila - mgKOH/g;Indice de Hidroxila;Fisico-Quimico;True;MA - 525;214 - 225;RANGE;214.0;225.0;0 dia;216.38;False;0
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Longa duração;Índice de hidroxila - mgKOH/g;Indice de Hidroxila;Fisico-Quimico;True;MA - 525;214 - 225;RANGE;214.0;225.0;0 dia;216.38;False;0
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Acelerado;Índice de hidroxila - mgKOH/g;Indice de Hidroxila;Fisico-Quimico;True;MA - 525;214 - 225;RANGE;214.0;225.0;1 sem;218.6;False;7
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Acelerado;Índice de hidroxila - mgKOH/g;Indice de Hidroxila;Fisico-Quimico;True;MA - 525;214 - 225;RANGE;214.0;225.0;2 sem;223.2;False;14
